La comida llegó rápido y estaba deliciosa.	1
No me gustó la hamburguesa, estaba fría.	0
Muy buen servicio y atención.	1
El pedido tardó mucho.	0
El repartidor fue muy amable.	1
La salsa es excelente, me encantó.	1
La hamburguesa estaba cruda por dentro.	0
No recibí mi bebida.	0
Me encanta este lugar, siempre regreso.	1
La porción es pequeña para el precio.	0
Todo llegó caliente y fresco.	1
No vuelvo a comprar aquí.	0
Demasiado caro para lo que ofrecen.	0
¡Súper recomendado!	1
El empaque es bonito y seguro.	1
El pedido llegó incompleto.	0
Me enviaron otra cosa que no pedí.	0
Muy sabroso y buena presentación.	1
Excelente atención al cliente.	1
No atendieron mi reclamo.	0
La pizza estaba deliciosa, crujiente y bien cocida.	1
No tenían lo que pedí.	0
Muy malo el servicio, demoraron demasiado.	0
Siempre tienen promociones interesantes.	1
Pedí sin cebolla y llegó con cebolla.	0
Rápido y delicioso.	1
La bebida llegó caliente.	0
La hamburguesa es la mejor que he probado.	1
Muy mala experiencia.	0
Buen precio y calidad.	1
Tardó una eternidad, pésimo servicio.	0
No contestan el teléfono.	0
Amé el combo familiar.	1
El pollo estaba jugoso y bien sazonado.	1
Las papas estaban frías y blandas.	0
Volveré a pedir sin duda.	1
No recomiendo este lugar.	0
Los postres son deliciosos.	1
Todo perfecto, gracias.	1
Me dieron un descuento inesperado.	1
No aceptaron mi cupón.	0
Servicio rápido y eficiente.	1
El menú es variado y fácil de entender.	1
Me atendieron mal.	0
Las porciones son generosas.	1
El lugar es muy limpio.	1
El sabor dejó mucho que desear.	0
El pedido llegó antes de lo esperado.	1
Se olvidaron de un producto.	0
El repartidor fue grosero.	0
Excelente experiencia, volveré pronto.	1
El pan estaba viejo.	0
Todo estuvo delicioso.	1
Muy buena relación calidad precio.	1
Me enviaron la salsa equivocada.	0
Todo fue rápido y sencillo.	1
No recibí mi pedido completo.	0
Las hamburguesas son increíbles.	1
Frío y mal presentado.	0
Muy atentos con los detalles.	1
Me encanta.	1
Esta buena.	1
Súper rico.	1
Horrible.	0
Muy malo.	0
Demasiado salado.	0
Las papas estaban quemadas.	0
Nunca llegó mi pedido.	0
Increíble atención.	1
Volveré pronto.	1
Excelente todo.	1
Muy rico y abundante.	1
El pollo estaba seco.	0
Repetiría mil veces.	1
No me gustó para nada.	0
